firstname,lastname,pin,balance
Bob,Martinez,5113,300.00
Frank,Jones,2635,6899.01
Thomas,Moore,9372,9754.99
Grace,Hernandez,194,882.82
Olivia,Martin,8957,891.44
Emma,Thomas,1753,2981.68
Ursula,Lewis,5379,909.82
John,Clark,6698,883.63
Victor,Moore,8659,2293.47
Irene,Lewis,3888,3239.84
Yolanda,Smith,3575,9461.55
John,Martin,6632,2014.78
Alice,Lee,6031,3251.33
Olivia,Jackson,2995,8432.77
Alice,Taylor,2046,1200.59
Grace,Williams,1607,4118.45
David,Clark,5064,3432.7
Jane,Rodriguez,9138,3387.27
Wendy,Garcia,6441,3835.38
Olivia,Martin,2380,7831.27
Robert,Walker,5751,2840.31
Yolanda,Wilson,8984,7.28
Queenie,Lewis,8886,1323.92
Queenie,Davis,3045,1904.66
Queenie,Williams,9426,3401.43
Frank,Thompson,8823,2788.59
Carol,Johnson,7116,4401.28
Nathan,Moore,8947,3341.53
Karen,Miller,3348,2225.03
Wendy,Anderson,3631,141.88
Carol,Martin,1262,1421.36
Ursula,Taylor,3469,2630.53
Paul,Rodriguez,7074,4894.18
Irene,Jones,1371,911.03
Grace,Lewis,7197,0.76
Victor,Rodriguez,6222,8727.24
Irene,Gonzalez,7330,8836.7
Monica,Johnson,8480,2366.35
Emma,Robinson,4783,1336.4
Carol,Gonzalez,8988,6221.91
Olivia,Perez,448,8711.32
Zach,Clark,2221,6822.28
Ursula,Thomas,265,5157.52
Irene,Lee,7977,4980.73
Thomas,Clark,5841,1339.34
Yolanda,Smith,1355,7407.46
Susan,Rodriguez,5156,7013.23
Ursula,Robinson,3442,4966.32
Yolanda,Jackson,8662,710.02
John,Rodriguez,2129,2413.53
Linh,Le,1111,5533.44
